IA_normalizado;Grupo_IRAC;Nome_Grupo_Principal;Subgrupo_ou_Classe;Comite;Fonte
thiosultap-sodium;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
tiociclam;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
tiossultap-sodio;14;Bloqueadores de canais do receptor nicotínico de acetilcolina;Análogos de nereistoxina;IRAC;IRAC MoA Classification v11.x
bistrifluron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
chlorfluazuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
clorfluazurom;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
diflubenzurom;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
diflubenzuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
flucycloxuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
flufenoxuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
hexaflumuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
lufenurom;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
lufenuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
novaluron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
noviflumuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
teflubenzuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
triflumuron;15;Inibidores da biossíntese de quitina (CHS1);Benzoilureias;IRAC;IRAC MoA Classification v11.x
buprofezin;16;Inibidores da biossíntese de quitina tipo 1;Buprofezina;IRAC;IRAC MoA Classification v11.x
buprofezina;16;Inibidores da biossíntese de quitina tipo 1;Buprofezina;IRAC;IRAC MoA Classification v11.x
ciromazina;17;Disruptor de muda em dípteros;Ciromazina;IRAC;IRAC MoA Classification v11.x
cyromazine;17;Disruptor de muda em dípteros;Ciromazina;IRAC;IRAC MoA Classification v11.x
chromafenozide;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
cromafenozida;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
halofenozide;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
methoxyfenozide;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
metoxifenozida;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
tebufenozida;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
tebufenozide;18;Agonistas do receptor de ecdisona;Diacilhidrazinas;IRAC;IRAC MoA Classification v11.x
amitraz;19;Agonistas do receptor de octopamina;Amitraz;IRAC;IRAC MoA Classification v11.x
alanycarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
aldicarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
bendiocarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
benfuracarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
butocarboxim;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
butoxycarboxim;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
carbaril;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
carbaryl;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
carbofuran;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
carbosulfan;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
ethiofencarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
etiofencarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
fenobucarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
formetanate;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
formetanato;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
furathiocarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
isoprocarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
methiocarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
methomyl;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
metiocarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
metolcarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
metomil;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
oxamil;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
oxamyl;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
pirimicarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
pirimicarbe;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
propoxur;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
thiodicarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
thiofanox;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
tiodicarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
triazamate;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
trimethacarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
xmc;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
xylylcarb;1A;Inibidores de acetilcolinesterase (AChE);Carbamatos;IRAC;IRAC MoA Classification v11.x
acefato;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
acephate;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
azinphos metil;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
azinphos-ethyl;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
azinphos-methyl;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
chlorpyrifos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
chlorpyrifos-methyl;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
clorpirifos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
clorpirifos-metil;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
clorpirifós;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
coumaphos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
ddvp;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
diazinon;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
diazinona;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
dichlorvos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
diclorvos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
dimethoate;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
dimetoato;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
disulfoton;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
ethion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
ethoprophos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
etion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
etoprofos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fenamifos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fenamiphos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fenitrothion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fenitrotion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fenthion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fentoato;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
forato;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fosmet;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
fosmete;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
malathion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
malation;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
malationa;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
metamidofos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
methamidophos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
methidathion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
metidation;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
mevinphos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
monocrotophos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
naled;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
oxydemeton-methyl;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
parathion;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
parathion-methyl;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
phorate;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
phosmet;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
profenofos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
profenofós;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
temephos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
terbufos;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
trichlorfon;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
triclorfom;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
triclorfon;1B;Inibidores de acetilcolinesterase (AChE);Organofosforados;IRAC;IRAC MoA Classification v11.x
hidrametilnona;20A;Inibidores do transporte de elétrons no complexo III mitocondrial;Hidrametilnona;IRAC;IRAC MoA Classification v11.x
hydramethylnon;20A;Inibidores do transporte de elétrons no complexo III mitocondrial;Hidrametilnona;IRAC;IRAC MoA Classification v11.x
acequinocil;20B;Inibidores do transporte de elétrons no complexo III mitocondrial;Acequinocil;IRAC;IRAC MoA Classification v11.x
acequinocyl;20B;Inibidores do transporte de elétrons no complexo III mitocondrial;Acequinocil;IRAC;IRAC MoA Classification v11.x
fluacrypyrim;20C;Inibidores do transporte de elétrons no complexo III mitocondrial;Fluacripirim;IRAC;IRAC MoA Classification v11.x
bifenazate;20D;Inibidores do transporte de elétrons no complexo III mitocondrial;Bifenazato;IRAC;IRAC MoA Classification v11.x
bifenazato;20D;Inibidores do transporte de elétrons no complexo III mitocondrial;Bifenazato;IRAC;IRAC MoA Classification v11.x
fenazaquin;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
fenpiroximato;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
fenpyroximate;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
piridabem;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
piridaben;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
pyridaben;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
pyrimidifen;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
tebufenpirade;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
tebufenpyrad;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
tolfenpirade;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
tolfenpyrad;21A;Inibidores do transporte de elétrons no complexo I mitocondrial;METI acaricidas e inseticidas;IRAC;IRAC MoA Classification v11.x
rotenona;21B;Inibidores do transporte de elétrons no complexo I mitocondrial;Rotenona;IRAC;IRAC MoA Classification v11.x
rotenone;21B;Inibidores do transporte de elétrons no complexo I mitocondrial;Rotenona;IRAC;IRAC MoA Classification v11.x
indoxacarb;22A;Bloqueadores de canais de sódio dependentes de voltagem;Oxadiazinas;IRAC;IRAC MoA Classification v11.x
indoxacarbe;22A;Bloqueadores de canais de sódio dependentes de voltagem;Oxadiazinas;IRAC;IRAC MoA Classification v11.x
metaflumizona;22B;Bloqueadores de canais de sódio dependentes de voltagem;Semicarbazonas;IRAC;IRAC MoA Classification v11.x
metaflumizone;22B;Bloqueadores de canais de sódio dependentes de voltagem;Semicarbazonas;IRAC;IRAC MoA Classification v11.x
espirodiclofeno;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
espiromesifeno;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
espirotetramato;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
spidoxamat;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
spirodiclofen;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
spiromesifen;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
spirotetramat;23;Inibidores da acetil-CoA carboxilase;Derivados de ácidos tetrônico e tetrâmico;IRAC;IRAC MoA Classification v11.x
aluminium phosphide;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
calcium phosphide;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
fosfeto de aluminio;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
fosfeto de alumínio;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
fosfeto de zinco;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
fosfina;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
phosphine;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
zinc phosphide;24A;Inibidores do transporte de elétrons no complexo IV mitocondrial;Fosfetos;IRAC;IRAC MoA Classification v11.x
calcium cyanide;24B;Inibidores do transporte de elétrons no complexo IV mitocondrial;Cianetos;IRAC;IRAC MoA Classification v11.x
sodium cyanide;24B;Inibidores do transporte de elétrons no complexo IV mitocondrial;Cianetos;IRAC;IRAC MoA Classification v11.x
ciflumetofem;25A;Inibidores do transporte de elétrons no complexo II mitocondrial;Derivados de beta-cetonitrila;IRAC;IRAC MoA Classification v11.x
cyenopyrafen;25A;Inibidores do transporte de elétrons no complexo II mitocondrial;Derivados de beta-cetonitrila;IRAC;IRAC MoA Classification v11.x
cyflumetofen;25A;Inibidores do transporte de elétrons no complexo II mitocondrial;Derivados de beta-cetonitrila;IRAC;IRAC MoA Classification v11.x
pyflubumide;25A;Inibidores do transporte de elétrons no complexo II mitocondrial;Derivados de beta-cetonitrila;IRAC;IRAC MoA Classification v11.x
chlorantraniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
ciantraniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
ciclaniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
clorantraniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
cyantraniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
cyclaniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
flubendiamida;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
flubendiamide;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
tetraniliprole;28;Moduladores do receptor de rianodina;Diamidas;IRAC;IRAC MoA Classification v11.x
flonicamid;29;Moduladores de órgãos cordotonais – sítio indefinido;Flonicamida;IRAC;IRAC MoA Classification v11.x
flonicamida;29;Moduladores de órgãos cordotonais – sítio indefinido;Flonicamida;IRAC;IRAC MoA Classification v11.x
chlordane;2A;Bloqueadores de canais de cloro mediados por GABA;Ciclodienos organoclorados;IRAC;IRAC MoA Classification v11.x
clordano;2A;Bloqueadores de canais de cloro mediados por GABA;Ciclodienos organoclorados;IRAC;IRAC MoA Classification v11.x
endosulfam;2A;Bloqueadores de canais de cloro mediados por GABA;Ciclodienos organoclorados;IRAC;IRAC MoA Classification v11.x
endosulfan;2A;Bloqueadores de canais de cloro mediados por GABA;Ciclodienos organoclorados;IRAC;IRAC MoA Classification v11.x
ethiprole;2B;Bloqueadores de canais de cloro mediados por GABA;Fenilpirazóis (fiproles);IRAC;IRAC MoA Classification v11.x
etiprole;2B;Bloqueadores de canais de cloro mediados por GABA;Fenilpirazóis (fiproles);IRAC;IRAC MoA Classification v11.x
fipronil;2B;Bloqueadores de canais de cloro mediados por GABA;Fenilpirazóis (fiproles);IRAC;IRAC MoA Classification v11.x
broflanilida;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
broflanilide;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
fluxametamida;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
fluxametamide;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
isocicloseram;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
isocycloseram;30;Moduladores alostéricos de canais de cloro mediados por GABA;Meta-diamidas e isoxazolinas;IRAC;IRAC MoA Classification v11.x
anticarsia gemmatalis mnpv;31;Baculovírus (Granulovirus e Nucleopoliedrovirus);Baculovírus;IRAC;IRAC MoA Classification v11.x
helicoverpa armigera nucleopolyhedrovirus;31;Baculovírus (Granulovirus e Nucleopoliedrovirus);Baculovírus;IRAC;IRAC MoA Classification v11.x
spodoptera eridania nucleopolyhedrovirus;31;Baculovírus (Granulovirus e Nucleopoliedrovirus);Baculovírus;IRAC;IRAC MoA Classification v11.x
spodoptera frugiperda multiple nucleopolyhedrovirus;31;Baculovírus (Granulovirus e Nucleopoliedrovirus);Baculovírus;IRAC;IRAC MoA Classification v11.x
